Piculus polyzonus;pica-pau-dourado-grande, Una Golden-green Woodpecker;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais;Mata Atlântica
Pimelodella kronei;Bagre-cego-de-iporanga;Em Perigo (EN);São Paulo;Mata Atlântica
Pimelodella spelaea;;Em Perigo (EN);Goiás;Cerrado
Pimelodus joannis;Mandi;Vulnerável (VU);Maranhão, Pará, Tocantins;Amazônia, Cerrado
Pimelodus stewarti;Mandi;Vulnerável (VU);Tocantins;Cerrado
Pionus reichenowi;Loro pechiazul, maitaca-de-barriga-azul, Reichenow`s Parrot;Vulnerável (VU);Alagoas, Bahia, Espírito Santo, Pernambuco;Mata Atlântica
Pithecopus rusticus;Perereca-macaco-rustica;Criticamente em Perigo (CR);Santa Catarina;Mata Atlântica
Pituna brevirostrata;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Goiás;Cerrado
Pituna xinguensis;annual killifish, Pece anual, Peixe anual;Criticamente em Perigo (CR);Pará;Amazônia
Placosoma cipoense;Lagartinho-do-cipó;Em Perigo (EN);Minas Gerais;Cerrado, Mata Atlântica
Platyrinchus leucoryphus;patinho-de-asa-castanha, Picoplano Alirrufo, Russet-winged Spadebill;Vulnerável (VU);Bahia, Espírito Santo, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Cerrado, Mata Atlântica
Platyrinchus mystaceus niveigularis;patinho-do-nordeste;Vulnerável (VU);Alagoas, Paraíba, Pernambuco, Rio Grande do Norte;Caatinga, Mata Atlântica
Platystigma pronoti;Libélula;Criticamente em Perigo (CR) (PE);Espírito Santo;Mata Atlântica
Plesiolebias canabravensis;annual killifish, Pece anual, Peixe anual;Vulnerável (VU);Tocantins;Cerrado
Plesiolebias xavantei;killifish, Pece anual, Peixe-anual;Em Perigo (EN);Tocantins;Cerrado
Plesiophysa dolichomastix;Caramujo-de-água-doce;Criticamente em Perigo (CR);Goiás;Cerrado
Plesioptopoma curvidens;Cascudinho;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Poecilia pertapeh;Barrigudinho;Criticamente em Perigo (CR);Goiás;Cerrado
Poecilotriccus albifacies;ferreirinho-de-cara-branca, Titirijí Cariblanco, White-cheeked Tody-Tyrant;Vulnerável (VU);Acre;Amazônia
Pogonias courbina;burriquete, corvina-negra, miragaia, miraguaia;Em Perigo (EN);Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Pogonopoma obscurum;Cascudo-preto;Em Perigo (EN);Rio Grande do Sul, Santa Catarina;Mata Atlântica, Pampa
Pogonopoma parahybae;Cascudo;Em Perigo (EN);Minas Gerais, São Paulo;Mata Atlântica
Polyprion americanus;cherne-poveiro;Criticamente em Perigo (CR);Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Pomacea sordida;aruá, aruá-do-brejo;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Pongycarcinia xiphidiourus;;Em Perigo (EN);Bahia;Caatinga
Pontoporia blainvillei;Boto-amarelo, Boto-cachimbo, Delfín de la Plata, Franciscana, La Plata river dolphin, Manico, Toninha;Criticamente em Perigo (CR);Espírito Santo, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Potamolithus karsticus;Caramujo-de-caverna;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Potamolithus troglobius;Caramujo-de-caverna, Caramujo-troglóbio;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Potiberaba porakuara;Anfípode;Vulnerável (VU);Ceará, Rio Grande do Norte;Caatinga
Praepedaliodes sequeirae;Borboleta;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Prepona deiphile;Borboleta;Vulnerável (VU);Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Mata Atlântica
Priodontes maximus;Armadillo gigante, Carachupa maman, Cuspón, Giant Armadillo, Tatou géant, Tatu-açú, Tatu-canastra, Tatú carreta, Tatú guazú;Vulnerável (VU);Acre, Amapá, Amazonas, Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Piauí, Rondônia, Roraima, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal
Pristis pectinata;espadarte, peixe-serra;Criticamente em Perigo (CR) (PE);Amapá, Maranhão, Pará, Piauí, Santa Catarina;Sistema Costeiro-Marinho
Pristis pristis;espadarte, peixe-serra;Criticamente em Perigo (CR);Amapá, Amazonas, Maranhão, Pará, Piauí;Sistema Costeiro-Marinho
Procellaria aequinoctialis;Pardela Gorgiblanca, pardela-preta, Shoemaker, Spectacled Petrel, White-chinned Petrel;Vulnerável (VU);Bahia, Espírito Santo, Pará, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Amazônia, Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Procellaria conspicillata;Pardela de anteojos, pardela-de-óculos, Ringeye White- chinned Petrel, Shoemaker, Spectacled Petrel;Vulnerável (VU);Bahia, Paraná, Rio de Janeiro, Rio Grande do Sul, São Paulo;Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Procellosaurinus tetradactylus;;Em Perigo (EN);Bahia;Caatinga
Proceratophrys ararype;Sapo-de-chifre-do-Araripe;Criticamente em Perigo (CR);Ceará;Caatinga
Proceratophrys palustris;Plateau Smooth Horned Frog, Sapo;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Proceratophrys sanctaritae;Sapo-de-chifres, Sapo-folha;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Prochilodus britskii;Curimatã, curimba, papa-terra;Em Perigo (EN);Mato Grosso;Amazônia
Prochilodus vimboides;Curimatá, Curimatã, Curimatã-pacu, Curimba, Curimbatá, Grumatã;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo;Cerrado, Mata Atlântica
Procnias albus wallacei;araponga-da-amazônia;Vulnerável (VU);Pará;Amazônia
Progarypus nigrimanus;escorpião-de-livro, falso-escorpião, pseudoescorpião;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Prognathodes obliquus;Peixe-borboleta-de-São-Pedro-e-São-Paulo;Vulnerável (VU);Pernambuco;Sistema Costeiro-Marinho
Psammisotoma restingae;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Pseudobatos horkelii;raia-viola, viola;Criticamente em Perigo (CR);Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Pseudobatos percellens;cação-viola, raia-viola, viola;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Pseudochthonius biseriatus;Falso-Escorpião, Pseudoescorpião;Em Perigo (EN);Minas Gerais;Cerrado
Pseudonannolene ambuatinga;Piolho-de-cobra;Em Perigo (EN);Minas Gerais;Cerrado
Pseudonannolene imbirensis;Piolho-de-cobra;Em Perigo (EN);Goiás;Cerrado
Pseudonannolene lundi;Piolho-de-Cobra;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Pseudonannolene spelaea;Piolho-de-cobra;Criticamente em Perigo (CR);Pará;Amazônia
Pseudonannolene tocaiensis;Piolho-de-cobra;Criticamente em Perigo (CR);São Paulo;Cerrado
Pseudoplatystoma corruscans;Moleque, Pintado, Surubim, Surubim-pintado;Vulnerável (VU);Bahia, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Paraná, Rio Grande do Sul, São Paulo;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal
Pseudoseisura lophotes;Brown Cachalote, Cacholote castaño, coperete;Vulnerável (VU);Rio Grande do Sul;Pampa
Pseudosinella ambigua;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Vulnerável (VU);Minas Gerais;Cerrado
Pseudosinella guanhaensis;Colêmbolo, Pulga-de-Jardim;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Pseudotocinclus juquiae;Cascudinho-do-Juquiá;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Pseudotocinclus tietensis;Cascudinho-do-tietê;Em Perigo (EN);São Paulo;Mata Atlântica
Psophia dextralis;Brown-winged Trumpeter, jacamim-de-costas-marrons;Vulnerável (VU);Mato Grosso, Pará;Amazônia, Cerrado
Psophia interjecta;jacamim-do-xingu, Xingu Trumpeter;Em Perigo (EN);Pará, Tocantins;Amazônia
Psophia obscura;Dark-winged Trumpeter, jacamim-de-costas-escuras, Trompetero alioscuro;Criticamente em Perigo (CR);Maranhão, Pará;Amazônia
Psophia viridis;Dark-winged Trumpeter, jacamim-de-costas-verdes, Trompetero Aliverde Ocidental;Vulnerável (VU);Amazonas, Mato Grosso, Pará, Rondônia;Amazônia
Pterinopelma sazimai;Aranha, Aranha-caranguejeira, tarântula-sazima;Vulnerável (VU);Bahia, Minas Gerais;Caatinga, Cerrado, Mata Atlântica
Pterodroma arminjoniana;grazina-de-trindade, Petrel de la Trinidade, Trindade Petrel;Criticamente em Perigo (CR);Espírito Santo, Rio Grande do Norte;Mata Atlântica, Sistema Costeiro-Marinho
Pterodroma deserta;Desertas Petrel, grazina-de-desertas, Petrel de las Desertas;Vulnerável (VU);Ceará, Rio Grande do Sul;Sistema Costeiro-Marinho
Pterodroma incerta;Atlantic Petrel, grazina-de-barriga-branca, Petrel de Schlegel;Em Perigo (EN);Bahia, Pará, Rio Grande do Sul;Pampa, Sistema Costeiro-Marinho
Pterodroma madeira;grazina-da-madeira, Petrel freira, Zino`s Petrel;Em Perigo (EN);Pernambuco, Rio Grande do Norte;Sistema Costeiro-Marinho
Pteroglossus bitorquatus bitorquatus;araçari-de-pescoço-vermelho;Vulnerável (VU);Maranhão, Pará;Amazônia, Cerrado
Pteronura brasiliensis;Arirai, Ariranha, Giant brazilian otter, Giant otter, Lobito de cola ancha, Lobo corbata, Lobo del río, Lobo del río grande, Lobo gargantilla, Londra, Lontra-gigante, Nutria gigante, Onça-d’água, Perro de água;Vulnerável (VU);Acre, Amapá, Amazonas, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Pará, Rondônia, Roraima, Tocantins;Amazônia, Cerrado, Mata Atlântica, Pantanal
Puffinus lherminieri;Audubon´s Shearwater, pardela-de-asa-larga, Pardela de Audubon;Criticamente em Perigo (CR);Espírito Santo, Pernambuco;Mata Atlântica, Sistema Costeiro-Marinho
Pulsatrix perspicillata pulsatrix;murucututu;Criticamente em Perigo (CR);Bahia, Espírito Santo, Rio Grande do Sul, Santa Catarina, São Paulo;Mata Atlântica
Pyriglena atra;Fringe-backed Fire-eye, Ojodefuego de Bahía, papa-taoca-da-bahia;Em Perigo (EN);Bahia, Sergipe;Caatinga, Mata Atlântica
Pyriglena pernambucensis;papa-taoca-de-pernambuco, Pernambuco Fire-eye;Vulnerável (VU);Alagoas, Paraíba, Pernambuco;Caatinga, Mata Atlântica
Pyrilia vulturina;curica-urubu, Lorito vulturino, Vulturine Parrot;Vulnerável (VU);Maranhão, Pará, Tocantins;Amazônia, Cerrado
Pyrrhura amazonum;Santarem Parakeet, tiriba-de-hellmayr;Vulnerável (VU);Maranhão, Pará, Tocantins;Amazônia, Cerrado
Pyrrhura anerythra;tiriba-do-xingu, Xingu Parakeet;Vulnerável (VU);Mato Grosso, Pará, Tocantins;Amazônia, Cerrado
Pyrrhura coerulescens;Cotorra Pulcra, Pearly Parakeet, tiriba-pérola;Vulnerável (VU);Maranhão, Pará, Tocantins;Amazônia, Cerrado
Pyrrhura cruentata;Cotorra tiriba, Ochre-marked Parakeet, tiriba-grande;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro;Caatinga, Mata Atlântica, Sistema Costeiro-Marinho
Pyrrhura griseipectus;Gray-breasted Parakeet, periquito-cara-suja, tiriba-de-peito-cinza;Em Perigo (EN);Alagoas, Bahia, Ceará, Paraíba, Pernambuco, Rio Grande do Norte;Caatinga, Mata Atlântica
Pyrrhura leucotis;Cotorra orejiblanca, Maroon-faced Parakeet, tiriba-de-orelha-branca;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Pyrrhura molinae;Chiripepé cabeza parda, Green-cheeked Parakeet, tiriba-de-cauda-vermelha;Vulnerável (VU);Mato Grosso, Mato Grosso do Sul;Amazônia, Pantanal
Pyrrhura pallescens;Madeira Parakeet, tiriba-do-madeira;Vulnerável (VU);Amazonas, Mato Grosso, Pará, Rondônia;Amazônia, Cerrado
Pyrrhura perlata;Cotorra Ventrirroja, Crimson-bellied Parakeet, tiriba-de-barriga-vermelha;Vulnerável (VU);Amazonas, Mato Grosso, Pará, Rondônia;Amazônia
Pyrrhura pfrimeri;Cotorra de Goiás, Pfrimer`s Parakeet, tiriba-de-pfrimer;Em Perigo (EN);Goiás, Tocantins;Cerrado
Racekiela cavernicola;Esponja;Vulnerável (VU);Bahia;Caatinga
Rachoviscus crassiceps;Lambari-da-restinga;Em Perigo (EN);Paraná, Santa Catarina, São Paulo;Mata Atlântica
Rachoviscus graciliceps;Lambari;Em Perigo (EN);Bahia, Espírito Santo;Mata Atlântica, Sistema Costeiro-Marinho
Ranacephala hogei;Cágado, Cágado-de-hoge, Cágado-de-hogei, Cágado-do-paraíba, Cágado-do-Paraíba-do-Sul, Hoge’s Side-necked Turtle, Hoge’s Toadhead Turtle;Vulnerável (VU);Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Relictopiolus galadriel;Aranha-bode, Aranha-fedorenta, Opilião;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Rhamdia jequitinhonha;Mandi;Vulnerável (VU);Minas Gerais;Cerrado
Rhamdiopsis krugi;Bagrinho-cego;Vulnerável (VU);Bahia;Caatinga
Rhegmatorhina gymnops;Bare-eyed Antbird, Hormiguero Ojicalvo, mãe-de-taoca-de-cara-branca;Vulnerável (VU);Mato Grosso, Pará;Amazônia
Rhegmatorhina hoffmannsi;Hormiguero pechiblanco, mãe-de-taoca-papuda, White-breasted Antbird;Vulnerável (VU);Amazonas, Mato Grosso, Rondônia;Amazônia, Cerrado
Rhetus belphegor;Borboleta, Fadinha;Criticamente em Perigo (CR);Minas Gerais;Cerrado, Mata Atlântica
Rhincodon typus;cação-estrela, pintadinho, tubarão-baleia, tubarão-estrela;Vulnerável (VU);Alagoas, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Rhinella casconi;Cururu-do-Cascon;Criticamente em Perigo (CR);Ceará;Caatinga
Rhinopetitia potamorhachia;;Em Perigo (EN);Mato Grosso, Pará;Amazônia
Rhinoptera brasiliensis;cara-de-vaca, raia-beiço-de-boi, raia-quatro-ventas, raia-ticonha;Criticamente em Perigo (CR);Paraná, São Paulo;Sistema Costeiro-Marinho
Rhionaeschna eduardoi;Libélula;Em Perigo (EN);Minas Gerais, Rio Grande do Sul;Cerrado, Mata Atlântica
Rhipidodonta koseritzi;Marisco de água doce, marisco do junco;Em Perigo (EN);Rio Grande do Sul;Pampa
Rhipidomys cariri;Cariri Climbing Mouse, Rato-da-árvore;Vulnerável (VU);Bahia, Ceará, Pernambuco;Caatinga
Rhipidomys tribei;Rato-da-árvore, Tribe’s Climbing Mouse;Em Perigo (EN);Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Rhopalothrix plaumanni;formiga, Formiga;Em Perigo (EN);Santa Catarina;Mata Atlântica
Rhopornis ardesiacus;gravatazeiro, Hormiguero Esbelto, Slender Antbird;Em Perigo (EN);Bahia, Minas Gerais;Caatinga, Mata Atlântica
Rhynchodoras xingui;Bacuzinho;Em Perigo (EN);Goiás, Mato Grosso, Pará;Amazônia, Cerrado
Rioraja agassizii;raia-santa;Vulnerável (VU);Espírito Santo, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Rodriguesophis chui;Muçurana-nariguda-das-dunas;Em Perigo (EN);Bahia;Caatinga
Rodriguesophis scriptorcibatus;Muçurana-nariguda-do-são-francisco;Em Perigo (EN);Bahia;Caatinga, Cerrado
Roestes itupiranga;;Vulnerável (VU);Pará;Amazônia
Rowlandius ubajara;Escorpião-chicote-de-cauda-curta;Criticamente em Perigo (CR);Ceará;Caatinga
Saguinus bicolor;Brazilian Bare-faced Tamarin, Pied Bare-faced Tamarin, Pied Bare-face Tamarin, Pied Tamarin, sagui-de-cara-nua, sagui-de-duas-cores, sauim-de-coleira, sauim-de-Manaus;Criticamente em Perigo (CR);Amazonas;Amazônia
Saguinus niger;Black-handed Tamarin, guaribinha, Sagüi, Sagui-una;Vulnerável (VU);Mato Grosso, Pará;Amazônia, Cerrado
Saimiri vanzolinii;Black-headed Squirrel Monkey, Black Squirrel Monkey, Macaco-de-cheiro-de-cabeça-preta;Vulnerável (VU);Amazonas;Amazônia
Sandalodesmus stramineus;Emboá, Gagogi, Gongolo, Piolho-de cobra;Vulnerável (VU);Minas Gerais;Cerrado
Sapajus cay;Azara-Kapuzineraffe, Azaras’s Capuchin, Cai (Tupi-Guarani), Capuchino de Azara, Hooded Capuchin, Kaai, Macaco-prego, macaco-prego-do-papo-amarelo, Mono-capuchino, Sajou brun ou Sapajou (derivado do Tupi sai-hui), Sapajou du Paraguay, Scimmie Cappucine, Yellow Bearded Capuchin;Vulnerável (VU);Goiás, Mato Grosso, Mato Grosso do Sul, Rondônia;Amazônia, Cerrado, Mata Atlântica, Pantanal
Sapajus flavius;Blonde Capuchin, Macaco, Macaco-galego, Macaco-prego, Macaco-prego-galego, Marcgrave’s Capuchin Monkey;Em Perigo (EN);Alagoas, Paraíba, Pernambuco, Rio Grande do Norte;Caatinga, Mata Atlântica
Sapajus robustus;Crested Capuchin, Macaco, Macaco-prego-de crista, Macaco-preto, Mico-topetudo, Robust Tufted Capuchin;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais;Cerrado, Mata Atlântica
Sapajus xanthosternos;Buff-headed Capuchin, Macaco prego do peito amarelo, Macaco-prego-do-peito-amarelo, Yellow-breasted Capuchin;Em Perigo (EN);Bahia, Minas Gerais, Sergipe;Caatinga, Cerrado, Mata Atlântica
Sartor tucuruiense;Aracu-boca-pra-cima;Em Perigo (EN);Pará, Tocantins;Amazônia, Cerrado
Scada karschina delicata;Borboleta;Criticamente em Perigo (CR);Alagoas, Pernambuco;Caatinga, Mata Atlântica
Scarus trispinosus;Asa-branca (Bahia), Bico-verde, Budião-azul, Peixe-papagaio-azul;Em Perigo (EN);Alagoas, Bahia, Ceará, Espírito Santo, Maranhão, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Scarus zelindae;budião-banana, papagaio-banana, peixe-papagaio-banana;Vulnerável (VU);Alagoas, Bahia, Ceará, Maranhão, Paraíba, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, Sergipe;Sistema Costeiro-Marinho
Schiffornis turdina intermedia;flautim-marrom;Vulnerável (VU);Alagoas, Paraíba, Pernambuco;Mata Atlântica
Schizogenius ocellatus;Besouro;Em Perigo (EN);São Paulo;Mata Atlântica
Sciades parkeri;bagre, Gurijuba;Vulnerável (VU);Amapá, Maranhão, Pará;Sistema Costeiro-Marinho
Scinax alcatraz;Perereca, Perereca-de-Alcatraz;Vulnerável (VU);São Paulo;Mata Atlântica
Scinax faivovichi;Perereca, Perereca-da-ilha-dos-porcos;Vulnerável (VU);São Paulo;Mata Atlântica, Sistema Costeiro-Marinho
Scinax muriciensis;;Criticamente em Perigo (CR);Alagoas;Mata Atlântica
Scinax peixotoi;Perereca, Pererequinha-da-Queimada-Grande-de-Peixoto;Criticamente em Perigo (CR) (PE);São Paulo;Mata Atlântica
Scinax pinimus;Sazima's Treefrog, Spotted Treefrog;Vulnerável (VU);Minas Gerais;Cerrado
Scleromystax macropterus;Limpa-fundo;Em Perigo (EN);Paraná, Santa Catarina, São Paulo;Mata Atlântica, Sistema Costeiro-Marinho
Sclerurus caudacutus caligineus;vira-folha-pardo;Criticamente em Perigo (CR);Alagoas;Mata Atlântica
Sclerurus caudacutus umbretta;vira-folha-pardo;Criticamente em Perigo (CR);Bahia, Espírito Santo;Mata Atlântica
Sclerurus cearensis;Ceara Leaftosser, Minero Brasileño, vira-folha-cearense;Em Perigo (EN);Bahia, Ceará, Pernambuco, Piauí;Caatinga, Cerrado, Mata Atlântica
Sclerurus macconnelli bahiae;vira-folha-de-peito-vermelho;Em Perigo (EN);Bahia, Minas Gerais, Pernambuco, Rio de Janeiro, São Paulo;Mata Atlântica
Scobinancistrus aureatus;Acari da pedra, Picota ouro;Vulnerável (VU);Pará;Amazônia
Scobinancistrus pariolispos;Acari da pedra;Vulnerável (VU);Goiás, Mato Grosso, Pará, Tocantins;Amazônia, Cerrado
Scolopendropsis duplicata;Centopeia, Lacraia;Criticamente em Perigo (CR);Piauí, Tocantins;Caatinga, Cerrado
Scolopocryptops troglocaudatus;Centopeia, Lacraia;Em Perigo (EN);Bahia;Caatinga
Scorpaenodes insularis;peixe-pedra-arco-iris;Vulnerável (VU);;Sistema Costeiro-Marinho
Scytalopus diamantinensis;Diamantina Tapaculo, tapaculo-da-chapada-diamantina;Em Perigo (EN);Bahia;Caatinga
Scytalopus gonzagai;Boa Nova Tapaculo, tapaculo-preto-baiano;Em Perigo (EN);Bahia;Mata Atlântica
Scytalopus iraiensis;Churrín Palustre, macuquinho-da-várzea, Marsh Tapaculo;Em Perigo (EN);Minas Gerais, Paraná, Rio Grande do Sul, Santa Catarina;Cerrado, Mata Atlântica, Pampa
Scytalopus novacapitalis;Brasilia Tapaculo, Churrín de Brasilia, tapaculo-de-brasília;Em Perigo (EN);Distrito Federal, Goiás, Minas Gerais;Cerrado
Seborgia potiguar;Anfípode;Criticamente em Perigo (CR);Rio Grande do Norte;Caatinga
Seira arenicola;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Em Perigo (EN);Paraíba, Rio Grande do Norte;Mata Atlântica
Seira mataraquensis;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Em Perigo (EN);Paraíba;Mata Atlântica
Seira musarum;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Vulnerável (VU);Amazonas, Maranhão, Pará, Paraíba, Rio de Janeiro;Mata Atlântica, Sistema Costeiro-Marinho
Seira pseudoannulata;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Em Perigo (EN);Paraíba;Mata Atlântica
Selenidera gouldii baturitensis;saripoca-de-gould;Em Perigo (EN);Ceará;Caatinga
Serpophaga hypoleuca pallida;alegrinho-do-rio;Vulnerável (VU);Pará, Tocantins;Amazônia, Cerrado
Simothraulopsis eurybasis;Efemérida;Vulnerável (VU);Espírito Santo;Mata Atlântica
Simpsonichthys boitonei;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Distrito Federal;Cerrado
Simpsonichthys cholopteryx;annual killifish, Pece anual, Peixe anual;Em Perigo (EN);Mato Grosso;Cerrado
Simpsonichthys espinhacensis;Peixe anual, Peixe das nuvens;Em Perigo (EN);Minas Gerais;Cerrado
Simpsonichthys nigromaculatus;Peixe anual, Peixe-da-chuva, Peixe das nuvens;Vulnerável (VU);Goiás;Cerrado
Simpsonichthys parallelus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Goiás;Cerrado
Simpsonichthys punctulatus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Goiás;Cerrado
Simpsonichthys santanae;Peixe anual, Peixe das nuvens;Em Perigo (EN);Distrito Federal;Cerrado
Simpsonichthys zonatus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR) (PE);Minas Gerais;Cerrado
Sluysia triapertura;Planária;Criticamente em Perigo (CR);Rio Grande do Norte;Caatinga
Sotalia guianensis;Boto, Boto-cinza, Bufeo gris, Bufeo negro, Estuarine dolphin, Guiana dolphin, Marine tucuxi dolphin;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Spaeleoleptes spaeleus;Aranha-bode, Aranha-fedorenta, Opilião;Em Perigo (EN);Minas Gerais;Cerrado
Sparisoma axillare;Bobó, Budião-batata, Gray Parrotfish, Loro basto, Peixe-papagaio-cinza, Perroquet basto, Redfin parrotfish;Vulnerável (VU);Alagoas, Bahia, Ceará, Espírito Santo, Maranhão, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Sparisoma frondosum;Agassiz’s parrotfish, Bobó, Budião-batata, Peixe-papagaio-cinza;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Paraíba, Paraná, Piauí, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Sparisoma rocha;Bodião-de-trindade;Vulnerável (VU);Espírito Santo;Sistema Costeiro-Marinho
Spectrolebias reticulatus;annual killifish, Pece anual, Peixe anual;Criticamente em Perigo (CR);Pará;Amazônia
Spelaeobochica allodentatus;Falso-escorpião, Pseudoescorpião;Em Perigo (EN);Bahia;Caatinga
Spelaeobochica iuiu;Falsos-escorpiões, pseudoescorpiões;Em Perigo (EN);Bahia;Cerrado
Spelaeobochica muchmorei;Falso-escorpião, Pseudoescorpião;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Spelaeochernes gracilipalpus;falso-escorpião, pseudoescorpião;Em Perigo (EN);São Paulo;Mata Atlântica
Spelaeogammarus bahiensis;Anfípode;Vulnerável (VU);Bahia;Caatinga
Spelaeogammarus sanctus;Anfípode;Criticamente em Perigo (CR);Bahia;Cerrado
Spelaeogammarus santanensis;Anfípode;Criticamente em Perigo (CR);Bahia;Cerrado
Spelaeogammarus spinilacertus;Anfípode;Em Perigo (EN);Bahia;Caatinga
Spelaeogammarus titan;Anfípode;Criticamente em Perigo (CR);Bahia;Cerrado
Spelaeogammarus trajanoae;Anfípode;Em Perigo (EN);Bahia;Caatinga
Spelunconiscus castroi;Tatuzinho;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Speocera eleonorae;Aranha;Em Perigo (EN);Mato Grosso do Sul;Cerrado
Speothos venaticus;bush dog, cachorro-do-mato-vinagre, cachorro-vinagre, chiens des buissons, perro de monte, zorrito vinagre;Vulnerável (VU);Acre, Amapá, Amazonas, Bahia, Distrito Federal, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Rio Grande do Sul, Rondônia, Roraima, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal
Sphaenorhynchus bromelicola;Bahia Lime Treefrog, Perereca-limão-da-Bahia;Em Perigo (EN);Bahia;Mata Atlântica
Sphaenorhynchus cammaeus;;Criticamente em Perigo (CR);Alagoas;Mata Atlântica
Sphaenorhynchus canga;;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
